,clean
637,radioactive day forward shall radioactive man
639,think hit atomic bomb kill
641,turn page bart
642,listen guy welcome come read time like
644,house crazy talk
646,guy bart monday thursday milhouse tuesday friday truly wednesday saturday
648,wait minute sunday
650,sunday possession determine random number generator digit milhouse bart seven
652,wait minute zero
655,unlikely event zero possession determine rock scissor paper competition well
656,excellent today saturday gentleman guess take comic
657,uh uh uh ah nice try martin work tonight comic book stay right
658,comic book stay right
660,fine go stay comic book like sleep yeah sleep pal right real friendly like
662,nice try mister
663,milhouse acid hand damage newsprint want comic forever alive honor bury
668,know make sap bartholemew j simpson
669,think boy like milk microwave s'more
670,thank mrs simpson
671,sweet dream boy
672,step dead man
674,yeah right gettin '
676,dear friend martin try steal comic book
678,bart treat guest
680,quiet piggy stick apple mouth chance turn watch
682,oh little game let old bart nice drowsy turn wham
684,go crazy bart tell mom
685,hey martin tell squealer
686,know bad people bathroom
689,homer come check boy
693,milhouse far ground rain probably soften bit
695,know guy tie save comic speak
697,help bart want comic want carl yastrzemski big burn
698,boy well come house want sniffle
700,come play little tie game inside get cocoa stove want imitation marshmallow
701,raise hand mrs simpson
702,use fellow comic book return earth come
703,work hard go end share
706,world safe long
707,ah chief wiggum archbishop mcgee distinguish guest pleased dedicate emergency warning system uh chance nuclear disaster sign tell good citizen springfield
708,joke core explode will power light sign
709,like present man sign possible drop obstructionist legal challenge montgomery burn
710,mr burns late terribly wrong
711,well leave diamond joe quimby hold bag
712,turn get greet dignitary
713,oh mr burn get doctor
714,absolutely quack sawbone go apply leech long ounce strength leave
715,mmmm mr burns suffer medical man hypohemia layman term simply lack blood
716,damn doctor idiot know hypohemia want know
717,point hope transfusion
718,long sterilize needle
722,afraid simple blood type double o negative rare
723,b positive damn common gutter blood vein
724,smither feel bad kidney donate hit spot
725,hair head look
727,attention employee boss inspiration mr burns death death door type double o negative blood implore report bloodmobile outside
731,believe guy human million dollar need help wanna cash loser stuck crummy dead end job
732,know homer supervisor
735,lee mur lee mur
736,zee boo zee boo
738,try teach maggie nature end barnyard want advantage
739,lisa good zebu
740,like ox hump dewlap hump dew lap hump dew lap
741,marge marge blood type
743,aw nuts extremely rare blood
744,know blood type romantic
745,mother know family
746,oh yeah shoe size
749,sixteen permanent baby
753,want wear ring look cheap
755,butterscotch imitation butterscotch
757,glow dark monster
758,oh homie lot hair want know blood type
759,aw old man burn go to kick double o negative blood plant
761,woo yes right woo congratulation boy get date needle
762,hey wait minute blood right know
763,yeah right remain silent
764,bart help need decent thing
765,bart like ask blood free crazy little young understand save rich man life shower rich know story hercules lion
767,yeah probably time big mean lion get thorn paw village people try pull strong get hercule hercule mighty strength bingo moral lion happy give hercule big thing rich
771,hey let emergency life death
773,whoa otto man work
774,oh yeah day friend school get job certify bloodlette tech dude
776,okay let wash
777,homer brave young bart know hug
780,smither go want dictate epitaph
781,charles montgomery burn
784,  american patriot
787,  o tyrant hear mighty quake smither
788,oh o ' mornin ' ye look good old
789,hi mr burn
790,oh hey mr brown shoe local sport team hm
791,mr burns okay jackpot
793,heh heh heh game hasta manana osvaldo
794,smither pink pith vinegar
796,know funny smither try tincture poultice tonic patent medicine need blood young boy way lad
797,uh bart simpson sir
799,son homer simpson stiff sector g
800,simpson get nice surprise mail nice
801,bill bill summon bill wait minute c m burn yes woo hoo woo
802,marge lisa maggie let yard neighbor
803,lisa dim light turn light
805,little thin okay check
807,  well half marge well half
808,right check card panic sure tell get pick dear bart thank kindly blood truly montgomery burn card
809,way gratitude gold diamond ruby lousy card wait minute card get mad place
810,homer thing like reward fellow human need help hand
811,marge wife love live world believe flower bell leprechaun magic frog funny little hat
812,yeah mom got hose
814,get exactly want give old man second chance
815,promise boy simple thing lot rich man break promise bart letter
816,  dear mr burns glaaad enjoy son blood caard great case tell sarcastic stink read
818,good senile buck toothe old mummy bony girl arm smell like
821,boss mail right minute
823,angry homer sleep
826,oh right hand thing usually work
828,homer breakfast ready
830,oh marge save make big mistake y'know finally understand meaning mmphm hnmph
834,homer think cornstarch canister
836,bart see letter
838,right think carefully
843,  shove mailbox
845,dad thing letter say know emotional guy mad night guarantee mad morning
847,homer encourage strangle
848,right okay think homer panic pick mail till noon time
849,ow ow ow ow ow ow ow
850,homer lock tight
851,lock eh little surprise sleeve old mr lock step aside boy
852,hey homer fight power
854,look like letter wet ink run able read
855,yeah people mail
856,people will letter boo hoo know kinda letter people write dear somebody hear blah blah blah blah blah blah blah truly bozo big loss
857,bart eye mailman kind signal
861,dear god plan water mail
862,uh uh guess good run 'cause mail lady know address huh
864,go to run
865,want world hear story harrowing struggle hypohemia
866,sir mr roman fine ghostwriter business
867,write like hell muck unsinkable sadruddin mahbaradad
869,right right question sleep famous
870,countess van zeplin blaze listen bargain basement baudelaire dizzy starlet stre word write thing fire
871,okay mr burn
873,great plan bart
874,ooh look maggie dec ah edron dodecahedron
875,lisa know strange father try worry
876,  chapter fifth trip infirmary unexpected result
878,minute till burns come time operation mail
880,tell go to destroy family believe
881,oh frightened letter opener
884,hello case tell sarcastic
885,  stink senile buck toothe old mummy bony girl arm smell like elephant butt
886,hey come joey twist arm
887,homer tell job okay
888,crush like ant easy revenge dish well serve cold bide time oh hell crush like ant
889,  senile eh buck toothed bony arm liver spot chinless
890,pink slip await signature sir
891,odd rob man livelihood feel strangely tell smither beat pulp
895,oh see mr burn mad kinda mad
896,big letter write pen
897,honey matter happen pull
898,okay plan sister raise kid die gutter practical mean
899,okay bart believe try scare
900,know homer simpson
901,yeah nice guy play poker
902,hmmm huh uh need beat
910,hold kick get
913,uh um umm
915,save mr burn ' life
916,close gentle reader like thank thank misprint enjoy write book enjoy read end
917,ah smither beating
918,sir uh beating
922,sorry sir hurt homer simpson save life
924,know mad think fair warn go stand outside gate forgive
925,need smither usual sober ying rage yang ' er old pal
926,sir wish handshake end afraid simpson matter attend
928,moe tavern elite meet drink
929,eh yeah hello mike rotch
930,hold check mike rotch mike rotch hey anybody see mike rotch lately
931,listen little puke day go to catch go to carve ice pick
932,matter homer normal effervescent self
933,get problem moe
934,homer hey drink forget problem
935,yeah drink enhance social skill
936,simpson present extravagant present mad unthinkable utterly impossible present frabulous grabulous zip zoop zabulous present
940,pool table mad go to turn home saloon
942,b sir thirty thousand dollar
943,dare sully moment price taggery perfect
945,oh mr burn
946,heave ho heave ho heave ho heave ho heave ho
947,wait dad smile
948,mr burn bring present
949,think go beat bloody pulp
950,hard feeling advance copy book rainbow young fellow forget
952,open crate stupid
953,tell bet fill diamond ruby sapphire pearl
954,wow big ugly head
955,actually son big ugly olmec indian head carve meso american indians year ago gruesome customer xt'tapalatakettle god war
957,maggie az tec ol mec ol mec
962,let acquaint se xt'tapalatakettle ta
964,sir god generosity
965,save guy life whattaya nothing bad nothing big scary rock
966,hey man bad mouth head
967,homer thought count moral story good deed reward
968,hey get reward head cool
969,guess moral good deed go unrewarded
970,wait minute write nasty letter get
971,guess moral squeaky wheel get grease
973,exactly bunch stuff happen
974,certainly memorable day
976,bart bart hey bart
977,lisa m wrong dad die
980,bart birthday day go to year old big number double digit
981,enjoy change hit big oh leg start candy taste good anymore
983,bart let pour little heart
984,sorry old timer ramble
985,bart disappoint birthday thing lose break hour okay forget
986,okay uh huh okay okay okay okay okay okay birthday gift come way
988,bart watch maggie laundry
990,hm krusty hotline
991,hi kid reach krusty hotline ask parent ' permission naughty naughty krusty forgive dollar minute cent additional minute
992,thank call kid new message day
994,bart ask watch sister
995,try stop overpower
996,steal shirt steal shirt
998,oh thank marge pink
999,marge wear pink shirt work everybody wear white shirt popular different
1000,homer panic plenty white shirt
1001,oh gimme gimme gimme gimme gimme
1002,oh pink pink pink marge
1004,ah lucky red hat clean whistle
1006,homer go notice wear pink shirt work
1007,wait minute zoom man pink
1008,oh homer simpson sir boob sector g
1009,simpson eh judge outlandish attire sort free think anarchist
1011,excellent color monitor pay
1012,hey homer save doughnut
1014,mmm thank look hey wait minute wear pink shirt mean kind pink doughnut eater tempt
1017,understand son throw red hat white laundry
1018,spare tired semantic simpson family away
1019,know mr burn body cavity search reveal x ray time maybe tell truth
1020,cahoot smither recall penchant bell trouser '
1021,uh sir costume plant production h m s pinafore
1022,oh yes course spirited hornpipe steal recall doctor shall free wheeling fop
1023,monty establish patient sanity take month change thank marvin monroe home personality test simple question determine crazy meshuggenah
1025,honey favor fill form
1026,homer intimate psychological profile fill
1027,right right lisa
1028,lisa like homework fill form
1030,right listen poem write
1032,meditation turn lisa simpson cat name snowball die die mom say sleep lie lie oh cat dead chrysler hit instead hamster name snuffy die
1035,son different time let vote remember absentee ballot
1037,home video finalist man break hip
1038,dog fire ruff anybody order hot dog
1040,finally baby nail gun
1042,okay time cast vote
1043,dog fire dog fire
1044,hey dad hear voice
1045,yes hear right try watch tv
1046,yes quick anger
1047,bart shut shut
1048,yes wet pant good occasional accident
1051,careful man wet pant
1052,devil fly open
1054,spill floor bug going go to eat
1057,happy birthday lisa
1058,boy fair tell sane insane
1060,stamp hand insane
1061,big white guy think little black guy
1063,hi michael jackson jackson
1064,homer simpson simpson
1065,believe hear popular entertainer
1066,oh course hear mean live rock know
1073,billie jean lover girl say kid son hee hee hee
1074,wow thing foot
1077,look raise heel bit little pressure ball foot
1078,hee hee hee
1079,like nice guy
1080,wear pink shirt
1081,understand people think crazy way dress
1083,white glove cover rhinestone
1084,bbl bbl bbl bbl
1085,bart split second die bet scratchy appreciate birthday present relate
1086,hey want year gesture get sis
1087,hey michael guy normal
1088,homer floyd idiot savant number multiply head like
1092,guy chief say word move muscle
1095,time somebody reach
1096,gee get to family
1097,oh embarrassing call them nut house mean think god
1099,oh great uh try good face tell place rich woman lose weight
1100,joe crematorium kill them grill them
1102,bart simpson hell
1104,michael jackson way
1105,true father mental institution
1106,uh huh elvis
1108,aw come michael jackson date grammys
1109,brooke shields diana ross emmanuel lewis bubble
1110,shiver timber michael jackson stay line friend relative
1111,afraid bart father need help want lobotomy
1114,probably size uh huh new bedlam asylum love need fear get michael jackson whoo hoo love man
1115,hey mom dad mental institution
1116,oh god mother right
1117,homer worry family go to know
1118,forget pal way be pretty
1121,tell kid go send father crazy house
1122,mom say poor house
1123,say crazy house
1128,hello reach new bedlam wrongly commit hotline operator currently busy stay line
1130,place strange mike ashamed admit guy scared
1131,scared maybe help
1132,homer need look find look friend friend get friend
1133,pancake football booby
1134,bubble go to long night
1135,wish love good wish peace joy
1136,feel free express session want feel relaxed uninhibite
1137,okay work insurance company right huh young vp history firm okay job life monday morning get leave house
1141,homer dave suffer agoraphobia fear open area crowd dave
1142,thank day know long drive work
1145,mrs simpson sorry husband suffer persecution complex extreme paranoia bladder hostility
1146,doctor talk minute mention son bart sane
1147,mean bart good lord
1149,oh mr simpson get visitor
1152,mr simpson talk wife believe threat
1153,flattering thing say write
1157,thank lot michael help find marble come visit
1160,get real depressed wall album get lousy grammy nomination
1161,happy birthday happy birthday happy birthday overlook middle child happy birthday
1162,joe taxidermy snuff them stuff them
1163,boy home go wrap hand neck
1164,homer get cut dose
